DrugID,UniprotID,Scores
DB06718,Q13332,0.980590831
DB15694,P51168,0.980590831
DB11496,P00750,0.980394733
DB00226,P94692,0.980394733
DB00479,P22001,0.980394733
DB06766,P38606,0.980394733
DB06766,P23469,0.980394733
DB00942,P19801,0.980394733
DB06766,Q13332,0.980394733
DB00942,P19634,0.980394733
DB00941,P05230,0.980296698
DB00782,P12236,0.980198673
DB01046,P0DTD1,0.980198673
DB01070,P51649,0.980198673
DB00525,P21430,0.980198673
DB05246,P9WPS1,0.980198673
DB00760,P0C6X7,0.980198673
DB00235,P69905,0.980198673
DB00782,P12235,0.980198673
DB05246,P80511,0.980198673
DB04865,P0C6X7,0.980198673
DB01599,P0A7R5,0.980198673
DB09477,P54710,0.980198673
DB00782,P05141,0.980198673
DB00760,K9N7C7,0.980198673
DB05246,P23297,0.980198673
DB06809,P05230,0.980100658
DB00405,P0AD64,0.980002653
DB01091,Q04206,0.980002653
DB00405,Q9F663,0.980002653
DB01616,P21430,0.980002653
DB00262,Q9NYX4,0.980002653
DB04575,P51649,0.979806672
DB00226,Q07699,0.979806672
DB01091,P00747,0.979806672
DB00226,P69905,0.979806672
DB11496,P35408,0.979806672
DB01145,P03886,0.979806672
DB01170,P94692,0.979806672
DB01438,Q16873,0.979806672
DB01438,P10620,0.979806672
DB01438,P28161,0.979806672
DB00419,P94692,0.979806672
DB03085,P48736,0.979806672
DB01145,P98194,0.979806672
DB01438,Q04760,0.979806672
DB06213,P98194,0.979610731
DB01170,P0A8V2,0.979610731
DB00235,P28161,0.979610731
DB00235,P10620,0.979610731
DB00235,Q04760,0.979610731
DB06213,P03886,0.979610731
DB00235,Q16873,0.979610731
DB00427,P23469,0.979414828
DB00735,Q04206,0.979414828
DB00226,O75874,0.979414828
DB00427,Q13332,0.979414828
DB01421,P24752,0.979414828
DB00902,P23469,0.979414828
DB00525,Q9NR82,0.979414828
DB00942,Q9ULX7,0.979414828
DB06718,Q9UNP4,0.979414828
DB00902,Q13332,0.979414828
DB00226,Q6GI75,0.979414828
DB00427,P38606,0.979414828
DB00902,P38606,0.979414828
DB01599,P23297,0.979218965
DB01599,P25815,0.979218965
DB00181,Q3MS49,0.979218965
DB00452,P78559,0.979218965
DB01250,P78527,0.979218965
DB09477,Q3MS49,0.979218965
DB01599,P01350,0.979218965
DB00621,Q3MS49,0.979218965
DB01613,Q3MS49,0.979218965
DB01082,Q13315,0.979218965
DB01599,O90777,0.979218965
DB14033,P0C6X7,0.979218965
DB01082,P78559,0.979218965
DB00263,P0C6X7,0.979218965
DB04865,K9N7C7,0.979218965
DB00452,Q13315,0.979218965
DB05246,P26447,0.979218965
DB05246,Q5SHN7,0.979218965
DB01063,Q3MS49,0.979218965
DB00710,P0DTD1,0.979218965
DB01084,Q04206,0.979121048
DB06766,Q9UNP4,0.979121048
DB00735,P00747,0.979121048
DB11699,P23469,0.979121048
DB00816,P69905,0.979121048
DB11699,P38606,0.979121048
DB11699,Q13332,0.979121048
DB06751,O60391,0.978925243
DB03754,P72525,0.978925243
DB00670,P61073,0.978925243
DB09488,P98194,0.978925243
DB03754,Q8TDS4,0.978925243
DB09097,P98194,0.978925243
DB09488,P03886,0.978925243
DB03754,P72524,0.978925243
DB09041,Q9H093,0.978925243
DB09097,P03886,0.978925243
DB00670,P03886,0.978925243
DB00670,P98194,0.978925243
DB09041,O60488,0.978925243
DB06751,P11413,0.978925243
DB06718,P21980,0.978729477
DB11587,P69905,0.978729477
DB01170,Q6GI75,0.978729477
DB00302,Q92206,0.978729477
DB06718,P05141,0.978729477
DB01091,P05141,0.978729477
DB01091,P12235,0.978729477
DB00427,Q04206,0.978729477
DB06821,Q16739,0.978729477
DB06718,P12236,0.978729477
DB01091,P12236,0.978729477
DB01616,Q04206,0.978729477
DB00525,P00747,0.978729477
DB06718,P12235,0.978729477
DB09552,P23560,0.978631609
DB09324,P51168,0.978533751
DB06766,P12236,0.978533751
DB00259,O60488,0.978533751
DB09324,P37088,0.978533751
DB00217,P69905,0.978533751
DB06766,P05141,0.978533751
DB00348,Q04206,0.978533751
DB01616,P00747,0.978533751
DB11160,P21430,0.978533751
DB00645,Q04206,0.978533751
DB06766,P12235,0.978533751
DB09324,P51170,0.978533751
DB09324,P51172,0.978533751
DB06766,P21980,0.978533751
DB00302,Q9NR96,0.978533751
DB03085,Q9NYX4,0.978240235
DB08799,Q04206,0.978240235
DB00263,K9N7C7,0.978240235
DB01070,P11413,0.978240235
DB01046,P0C6X7,0.978240235
DB01421,O60218,0.978240235
DB00828,Q16790,0.978240235
DB00452,P42345,0.978240235
DB03754,P13500,0.978240235
DB12532,P78559,0.978240235
DB00525,Q9UNP4,0.978240235
DB12532,Q15878,0.978240235
DB01246,Q04206,0.978240235
DB05246,P0A7R5,0.978240235
DB01082,P42345,0.978240235
DB00928,P54710,0.978240235
DB14033,K9N7C7,0.978240235
DB01421,Q9NPA2,0.978142416
DB01091,P61073,0.978142416
DB00192,P12236,0.978044607
DB00192,P12235,0.978044607
DB01619,Q04206,0.978044607
DB00735,P12236,0.978044607
DB01246,P00747,0.978044607
DB00902,Q9UNP4,0.978044607
DB00504,P03886,0.978044607
DB00504,P98194,0.978044607
DB00192,P05141,0.978044607
DB00735,P12235,0.978044607
DB00735,P05141,0.978044607
DB08936,Q9UNP4,0.977751237
DB01084,P12235,0.977751237
DB00498,Q16739,0.977751237
DB00735,P61073,0.977751237
DB08936,P41594,0.977751237
DB11328,P19634,0.977751237
DB11328,P51170,0.977751237
DB00524,P61073,0.977751237
DB11496,P23786,0.977751237
DB11328,P51168,0.977751237
DB01153,P11413,0.977751237
DB01421,P21817,0.977751237
DB04575,P11413,0.977751237
DB00479,O15530,0.977751237
DB04575,O60391,0.977751237
DB08799,P03886,0.977751237
DB11328,P19801,0.977751237
DB11328,P51172,0.977751237
DB01084,P05141,0.977751237
DB08799,P98194,0.977751237
DB01084,P12236,0.977751237
DB11328,P37088,0.977751237
DB00525,P12235,0.977555706
DB00525,P12236,0.977555706
DB00748,Q04206,0.977555706
DB00525,P38606,0.977555706
DB06718,P51649,0.977555706
DB09041,O60427,0.977555706
DB00525,Q13332,0.977555706
DB00525,P05141,0.977555706
DB03754,Q9NPA2,0.977555706
DB00525,P21980,0.977555706
DB00427,P61073,0.977360215
DB00419,Q6GI75,0.977262484
DB00710,P0C6X7,0.977262484
DB01599,Q5SHN7,0.977262484
DB01099,P0DTD1,0.977262484
DB01599,P29034,0.977262484
DB00902,P05141,0.977262484
DB06718,P03886,0.977262484
DB00427,P12236,0.977262484
DB00710,K9N7C7,0.977262484
DB00452,Q5S007,0.977262484
DB00263,P0DTD1,0.977262484
DB01599,Q86V67,0.977262484
DB06766,P51649,0.977262484
DB00427,P12235,0.977262484
DB01616,P12236,0.977262484
DB00748,P00747,0.977262484
DB00348,P61073,0.977262484
DB00427,P05141,0.977262484
DB03754,P0AES4,0.977262484
DB08936,Q04206,0.977262484
DB05246,O90777,0.977262484
DB01619,P41594,0.977262484
DB12532,Q5S007,0.977262484
DB01082,Q5S007,0.977262484
DB01616,P05141,0.977262484
DB00902,P12236,0.977262484
DB00902,P21980,0.977262484
DB14033,P0DTD1,0.977262484
DB00226,P19838,0.977262484
DB01170,P07195,0.977262484
DB01599,P26447,0.977262484
DB06718,P98194,0.977262484
DB01616,P12235,0.977262484
DB00902,P12235,0.977262484
DB00348,P41180,0.977262484
DB04880,Q16739,0.977262484
DB01125,Q9NR82,0.977262484
DB01246,P61073,0.977164762
DB00828,Q9NYX4,0.976969349
DB11699,P12236,0.976969349
DB08936,P21980,0.976969349
DB00645,P12235,0.976969349
DB08936,P05141,0.976969349
DB00504,P05141,0.976969349
DB00504,P12236,0.976969349
DB11699,P05141,0.976969349
DB06766,P98194,0.976969349
DB00498,P21430,0.976969349
DB08936,Q13332,0.976969349
DB03754,Q6FHJ7,0.976969349
DB01619,P61073,0.976969349
DB00504,P12235,0.976969349
DB11160,Q04206,0.976969349
DB08936,P12236,0.976969349
DB00645,P12236,0.976969349
DB06766,P03886,0.976969349
DB00262,P00492,0.976969349
DB00645,P05141,0.976969349
DB00259,O60427,0.976969349
DB08936,Q14957,0.976969349
DB01619,P23786,0.976969349
DB08936,P12235,0.976969349
DB11699,P12235,0.976969349
DB08936,P38606,0.976969349
DB01619,P41180,0.976969349
DB06809,O60488,0.976871657
DB06809,Q9H093,0.976871657
DB00302,Q07699,0.976773975
DB01246,P12236,0.976773975
DB00235,Q16739,0.976773975
DB00226,Q9UGI5,0.976773975
DB00479,Q92206,0.976773975
DB01619,P51649,0.976773975
DB11160,P00747,0.976773975
DB00405,Q04206,0.976773975
DB01246,P05141,0.976773975
DB01125,Q04206,0.976773975
DB01246,P12235,0.976773975
DB01153,Q15825,0.976480986
DB00961,Q13332,0.976480986
DB01170,P19838,0.976480986
DB00302,P37088,0.976480986
DB06821,Q04206,0.976480986
DB00405,P00747,0.976480986
DB00302,P51168,0.976480986
DB01153,Q92806,0.976480986
DB00302,P51172,0.976480986
DB00961,P23469,0.976480986
DB00735,P03886,0.976480986
DB01619,P05141,0.976480986
DB01619,P12235,0.976480986
DB00735,P98194,0.976480986
DB01153,P19320,0.976480986
DB00961,P38606,0.976480986
DB01153,P07327,0.976480986
DB01298,P61073,0.976480986
DB00302,P51170,0.976480986
DB01619,P38606,0.976480986
DB01619,Q13332,0.976480986
DB01619,P12236,0.976480986
DB04880,P21430,0.976480986
DB05246,P01350,0.97628571
DB01250,P12823,0.97628571
DB01099,K9N7C7,0.97628571
DB00405,P61073,0.97628571
DB01125,P41180,0.97628571
DB00876,P0C6X7,0.97628571
DB01099,P0C6X7,0.97628571
DB00928,P9WPS1,0.97628571
DB01125,P61073,0.97628571
DB05246,Q86V67,0.97628571
DB12532,O14578,0.97628571
DB00262,Q9NYK1,0.976188086
DB00552,P98194,0.976188086
DB01421,P78348,0.976188086
DB00807,P12235,0.976188086
DB09041,Q04760,0.976188086
DB01438,P21430,0.976188086
DB00807,P12236,0.976188086
DB09041,P28161,0.976188086
DB06821,P61073,0.976188086
DB09041,Q16873,0.976188086
DB00525,P51649,0.976188086
DB00552,P03886,0.976188086
DB09041,P10620,0.976188086
DB00807,P05141,0.976188086
DB12789,P53667,0.976090472
DB12789,P57059,0.976090472
DB12789,Q8NG66,0.976090472
DB06809,O60427,0.976090472
DB08799,P45954,0.975895274
DB01180,P23469,0.975895274
DB00498,Q9NR82,0.975895274
DB01180,Q13332,0.975895274
DB01170,Q9UGI5,0.975895274
DB01421,Q9NYK1,0.975895274
DB00235,P21430,0.975895274
DB03754,Q99571,0.975895274
DB03085,O15530,0.975895274
DB00748,P12235,0.975895274
